                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0842,                 3.9078,                0.98417,                0.58535,                0.27273,                0.31233,                0.11036,                 1.9643,                 2.5968,                 1.8117,                 0.0748,                 0.0028,                 0.0028
                      1,                0.67222,                0.69287,                0.84993,                0.37763,                0.24242,                0.20215,                0.05677,                  2.384,                  3.283,                 2.0476,               0.048418,              0.0054178,              0.0054178
                      2,                0.69275,                0.70219,                0.85915,                0.83227,                0.24242,                0.39227,                0.15797,                 2.3582,                 2.8277,                  1.992,               0.021749,              0.0077486,              0.0077486
                      3,                0.77144,                0.73063,                0.87516,                0.43385,                0.24242,                0.28106,                0.11283,                 2.4699,                 2.5747,                 1.9634,               0.008515,               0.008515,               0.008515
                      4,                 0.7436,                0.62549,                0.86356,                0.69204,                0.27273,                0.37085,                0.12651,                 2.4179,                 2.4435,                 1.9179,               0.008515,               0.008515,               0.008515
                      5,                0.74967,                0.54333,                 0.8707,                0.66668,                0.33333,                0.38596,                0.12188,                 2.4712,                 2.3413,                  2.001,                0.00802,                0.00802,                0.00802
                      6,                0.72465,                 0.5282,                0.85641,                0.40361,                0.21212,                0.18665,                0.05863,                 2.2787,                 3.2155,                 1.7413,               0.007525,               0.007525,               0.007525
                      7,                0.70277,                0.49811,                0.86718,                 0.2477,                0.48485,                0.29186,                0.12003,                 2.3419,                 2.1582,                 1.7619,                0.00703,                0.00703,                0.00703
                      8,                0.70493,                0.49671,                0.87183,                0.74668,                0.39394,                0.43953,                0.17142,                 2.2703,                 2.0963,                  1.706,               0.006535,               0.006535,               0.006535
                      9,                0.65171,                0.46419,                 0.8459,                0.85229,                0.39394,                0.50336,                0.22622,                 2.1168,                 2.1685,                 1.6636,                0.00604,                0.00604,                0.00604
                     10,                0.58356,                0.43933,                0.84125,                0.40195,                0.39394,                0.28026,                0.13954,                 2.0791,                 2.7101,                  1.656,               0.005545,               0.005545,               0.005545
                     11,                0.57414,                0.41131,                0.82859,                0.98081,                0.27273,                0.35282,                0.15182,                 2.3099,                 3.1753,                 1.9196,                0.00505,                0.00505,                0.00505
                     12,                0.55766,                0.39792,                 0.8431,                0.61537,                0.33964,                0.38615,                0.14464,                 2.3096,                 2.8609,                 1.8203,               0.004555,               0.004555,               0.004555
                     13,                0.55719,                0.38448,                 0.8375,                0.49223,                0.36364,                0.34315,                 0.1337,                 2.5314,                 2.4976,                 1.9489,                0.00406,                0.00406,                0.00406
                     14,                0.54356,                0.37333,                0.83533,                0.55473,                0.42424,                0.46271,                0.16343,                  2.361,                 2.3045,                 1.8537,               0.003565,               0.003565,               0.003565
                     15,                 0.5328,                0.37242,                 0.8266,                0.79724,                 0.4769,                0.52038,                0.22725,                 2.5037,                 1.9444,                 1.8674,                0.00307,                0.00307,                0.00307
                     16,                0.50988,                 0.3565,                0.81875,                0.66287,                0.39394,                0.47221,                0.21757,                 2.3493,                 2.2498,                 1.6695,               0.002575,               0.002575,               0.002575
                     17,                0.50091,                 0.3447,                0.81605,                0.70301,                0.51515,                0.54881,                0.27182,                 2.1115,                 1.6721,                 1.5062,                0.00208,                0.00208,                0.00208
                     18,                0.49125,                0.33193,                0.81915,                 0.8603,                0.42424,                0.51167,                0.23458,                 2.2759,                 2.0709,                   1.69,               0.001585,               0.001585,               0.001585
                     19,                 0.4763,                0.32352,                0.81561,                0.82442,                0.45455,                0.59541,                0.28617,                 2.0417,                 1.4409,                 1.5314,                0.00109,                0.00109,                0.00109
